species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Olax scalariformis A.S.George,Olax scalariformis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Olacaceae
Choretrum lateriflorum R.Br.,Choretrum lateriflorum,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Exocarpos homalocladus C.Moore & F.Muell.,Exocarpos homalocladus,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Korthalsella emersa Barlow,Korthalsella emersa,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Korthalsella leucothrix Barlow,Korthalsella leucothrix,not present,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Leptomeria axillaris R.Br.,Leptomeria axillaris,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Leptomeria dielsiana Pilg.,Leptomeria dielsiana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Leptomeria ellytes Lepschi,Leptomeria ellytes,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Leptomeria ericoides Miq.,Leptomeria ericoides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Leptomeria furtiva Lepschi,Leptomeria furtiva,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Santalaceae
Cyathea exilis Holttum,Cyathea exilis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyatheaceae
Cyathea felina (Roxb.) C.V.Morton,Cyathea felina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Cyatheaceae
